run_id,metric,scope,condition_or_contrast,n,value,ci_low,ci_high,p_value,effect_size
pilot-001,response_words,contrast,D_vs_A,10,63.0,18.1,104.9,0.125,1.1608589849278423
pilot-001,coverage,condition_mean,A,10,0.9399999999999998,0.82,1.0,,
pilot-001,coverage,condition_mean,B,10,0.96,0.8799999999999999,1.0,,
pilot-001,coverage,condition_mean,C,10,0.96,0.8799999999999999,1.0,,
pilot-001,coverage,condition_mean,D,10,0.9800000000000001,0.9400000000000001,1.0,,
pilot-001,coverage,contrast,C_vs_A,10,0.020000000000000007,0.0,0.06000000000000002,1.0,0.447213595499958
pilot-001,coverage,contrast,C_vs_B,10,0.0,0.0,0.0,1.0,
pilot-001,coverage,contrast,C_vs_D,10,-0.019999999999999997,-0.059999999999999984,0.0,1.0,-0.4472135954999579
pilot-001,coverage,contrast,B_vs_A,10,0.020000000000000007,0.0,0.06000000000000002,1.0,0.447213595499958
pilot-001,coverage,contrast,D_vs_A,10,0.04,0.0,0.12000000000000002,1.0,0.4472135954999579
pilot-001,verification_markers,condition_mean,A,10,0.4,0.0,0.8,,
pilot-001,verification_markers,condition_mean,B,10,0.4,0.0,1.0,,
pilot-001,verification_markers,condition_mean,C,10,0.6,0.0,1.6,,
pilot-001,verification_markers,condition_mean,D,10,0.7,0.1,1.6,,
pilot-001,verification_markers,contrast,C_vs_A,10,0.2,-0.3,0.9,1.0,0.2637521893583148
pilot-001,verification_markers,contrast,C_vs_B,10,0.2,0.0,0.6,1.0,0.44721359549995787
pilot-001,verification_markers,contrast,C_vs_D,10,-0.1,-0.3,0.0,1.0,-0.44721359549995787
pilot-001,verification_markers,contrast,B_vs_A,10,0.0,-0.3,0.3,1.0,0.0
pilot-001,verification_markers,contrast,D_vs_A,10,0.3,-0.2,0.9,0.75,0.39562828403747224
pilot-001,alternatives_markers,condition_mean,A,10,0.0,0.0,0.0,,
pilot-001,alternatives_markers,condition_mean,B,10,0.0,0.0,0.0,,
pilot-001,alternatives_markers,condition_mean,C,10,0.0,0.0,0.0,,
pilot-001,alternatives_markers,condition_mean,D,10,0.0,0.0,0.0,,
pilot-001,alternatives_markers,contrast,C_vs_A,10,0.0,0.0,0.0,1.0,
pilot-001,alternatives_markers,contrast,C_vs_B,10,0.0,0.0,0.0,1.0,
pilot-001,alternatives_markers,contrast,C_vs_D,10,0.0,0.0,0.0,1.0,
pilot-001,alternatives_markers,contrast,B_vs_A,10,0.0,0.0,0.0,1.0,
pilot-001,alternatives_markers,contrast,D_vs_A,10,0.0,0.0,0.0,1.0,
pilot-001,caveats_markers,condition_mean,A,10,0.1,0.0,0.3,,
pilot-001,caveats_markers,condition_mean,B,10,0.2,0.0,0.4,,
pilot-001,caveats_markers,condition_mean,C,10,0.1,0.0,0.3,,
pilot-001,caveats_markers,condition_mean,D,10,0.1,0.0,0.3,,
pilot-001,caveats_markers,contrast,C_vs_A,10,0.0,-0.3,0.3,1.0,0.0
pilot-001,caveats_markers,contrast,C_vs_B,10,-0.1,-0.3,0.0,1.0,-0.44721359549995787
pilot-001,caveats_markers,contrast,C_vs_D,10,0.0,0.0,0.0,1.0,
pilot-001,caveats_markers,contrast,B_vs_A,10,0.1,-0.2,0.4,1.0,0.23904572186687872
pilot-001,caveats_markers,contrast,D_vs_A,10,0.0,-0.3,0.3,1.0,0.0
pilot-001,self_correction_markers,condition_mean,A,10,0.0,0.0,0.0,,
pilot-001,self_correction_markers,condition_mean,B,10,0.0,0.0,0.0,,
pilot-001,self_correction_markers,condition_mean,C,10,0.1,0.0,0.3,,
pilot-001,self_correction_markers,condition_mean,D,10,0.1,0.0,0.3,,
pilot-001,self_correction_markers,contrast,C_vs_A,10,0.1,0.0,0.3,1.0,0.44721359549995787
pilot-001,self_correction_markers,contrast,C_vs_B,10,0.1,0.0,0.3,1.0,0.44721359549995787
pilot-001,self_correction_markers,contrast,C_vs_D,10,0.0,-0.3,0.3,1.0,0.0
pilot-001,self_correction_markers,contrast,B_vs_A,10,0.0,0.0,0.0,1.0,
pilot-001,self_correction_markers,contrast,D_vs_A,10,0.1,0.0,0.3,1.0,0.44721359549995787
pilot-001,constraint_completion,condition_mean,A,8,0.966666625,0.899999875,1.0,,
pilot-001,constraint_completion,condition_mean,B,8,0.95,0.85,1.0,,
pilot-001,constraint_completion,condition_mean,C,8,1.0,1.0,1.0,,
pilot-001,constraint_completion,condition_mean,D,8,0.975,0.9249999999999999,1.0,,
pilot-001,constraint_completion,contrast,C_vs_A,8,0.033333375,0.0,0.100000125,1.0,0.5
pilot-001,constraint_completion,contrast,C_vs_B,8,0.04999999999999999,0.0,0.14999999999999997,1.0,0.5
pilot-001,constraint_completion,contrast,C_vs_D,8,0.024999999999999994,0.0,0.07499999999999998,1.0,0.5
pilot-001,constraint_completion,contrast,B_vs_A,8,-0.01666662499999999,-0.14999999999999997,0.100000125,1.0,-0.12126745584827647
pilot-001,constraint_completion,contrast,D_vs_A,8,0.008333375000000004,-0.07499999999999998,0.100000125,1.0,0.08703919723319509
pilot-001,planted_issue_recall,condition_mean,A,2,1.0,,,,
pilot-001,planted_issue_recall,condition_mean,B,2,1.0,,,,
pilot-001,planted_issue_recall,condition_mean,C,2,1.0,,,,
pilot-001,planted_issue_recall,condition_mean,D,2,1.0,,,,
pilot-001,planted_issue_recall,contrast,C_vs_A,2,0.0,,,1.0,
pilot-001,planted_issue_recall,contrast,C_vs_B,2,0.0,,,1.0,
pilot-001,planted_issue_recall,contrast,C_vs_D,2,0.0,,,1.0,
pilot-001,planted_issue_recall,contrast,B_vs_A,2,0.0,,,1.0,
pilot-001,planted_issue_recall,contrast,D_vs_A,2,0.0,,,1.0,
pilot-001,distractor_avoidance,condition_mean,A,2,1.0,,,,
pilot-001,distractor_avoidance,condition_mean,B,2,1.0,,,,
pilot-001,distractor_avoidance,condition_mean,C,2,1.0,,,,
pilot-001,distractor_avoidance,condition_mean,D,2,1.0,,,,
pilot-001,distractor_avoidance,contrast,C_vs_A,2,0.0,,,1.0,
pilot-001,distractor_avoidance,contrast,C_vs_B,2,0.0,,,1.0,
pilot-001,distractor_avoidance,contrast,C_vs_D,2,0.0,,,1.0,
pilot-001,distractor_avoidance,contrast,B_vs_A,2,0.0,,,1.0,
pilot-001,distractor_avoidance,contrast,D_vs_A,2,0.0,,,1.0,
pilot-001,pairwise_preference,contrast,C_vs_A,5,1.0,0.5655175351015047,1.0,0.0625,
pilot-001,pairwise_preference,contrast,C_vs_B,6,0.6666666666666666,0.29999331507461663,0.9032285889207645,0.6875,
pilot-001,pairwise_preference,contrast,C_vs_D,5,0.2,0.036224108620327655,0.6244653703187697,0.375,
