experiment,arm_id,phrase,family,family_name,decision,primary_vs_A,primary_ci_low_vs_A,primary_ci_high_vs_A,primary_vs_B,primary_vs_D,objective_vs_A,objective_vs_B,objective_vs_D,holm_p_vs_A,bh_q_vs_A,consistency_vs_A,pairwise_win_rate_vs_A,best_task_family,worst_task_family,mean_response_words,generations
002,T25,The weather today is mild and overcast.,F9,Neutral control,Neutral,-0.11666666666666665,-0.28333333333333327,0.0,-0.049999999999999996,0.03333333333333333,-0.024417966666666666,-0.04495368333333334,-0.0322189,0.5625,0.9285714285714286,0.8333333333333334,0.34146341463414637,critique,writing,290.7,60
002,T05,Work through this step by step before you answer.,F2,Explicit effort instruction,Neutral,-0.13333333333333333,-0.25,-0.05,-0.06666666666666668,0.016666666666666666,-0.0041666666666666675,-0.024702383333333335,-0.011967600000000004,0.09375,0.8125,1.0,0.5365853658536586,reasoning,writing,343.6333333333333,60
002,T21,You are the person everyone comes to when this has to be right.,F7,Identity / role priming,Neutral,-0.13333333333333333,-0.31666666666666665,0.016666666666666677,-0.06666666666666667,0.01666666666666667,-0.008250649999999998,-0.028786366666666664,-0.016051583333333334,0.65625,0.9285714285714286,0.8333333333333334,0.4,critique,reasoning,348.15,60
002,T24,The whole team is counting on you for this.,F8,Social / team framing,Neutral,-0.13333333333333333,-0.31666666666666665,0.0,-0.06666666666666665,0.016666666666666673,-0.016011933333333332,-0.03654765,-0.023812866666666665,0.75,0.9285714285714286,0.8,0.2894736842105263,critique,reasoning,307.6166666666667,60
002,T20,Answer as the most careful specialist you know.,F7,Identity / role priming,Neutral,-0.14999999999999997,-0.26666666666666666,-0.05,-0.08333333333333333,1.1102230246251566e-17,-0.01801255,-0.038548266666666664,-0.02581348333333333,0.09375,0.8125,1.0,0.5526315789473685,critique,planning,368.0833333333333,60
002,T09,"You have been wonderful to work with, and I am grateful.",F3,Appreciation / affection,Neutral,-0.15,-0.33333333333333326,0.016666666666666663,-0.08333333333333333,1.6653345369377347e-17,-0.006428583333333333,-0.026964299999999997,-0.014229516666666667,0.46875,0.9285714285714286,0.8571428571428571,0.38,critique,reasoning,308.71666666666664,60
002,T13,Most people get this wrong. Let us see if you can get it right.,F5,Challenge / competition,Neutral,-0.15,-0.3166666666666667,-0.03333333333333333,-0.08333333333333333,0.0,-0.007443783333333333,-0.0279795,-0.015244716666666668,0.375,0.9285714285714286,1.0,0.46153846153846156,critique,planning,324.8,60
002,T26,This request was submitted through the standard form.,F9,Neutral control,Neutral,-0.16666666666666666,-0.4,0.0,-0.1,-0.016666666666666673,-0.007767849999999998,-0.02830356666666667,-0.015568783333333336,0.75,0.9285714285714286,0.8,0.42857142857142855,critique,reasoning,311.46666666666664,60
002,T07,I really appreciate your help with this. Thank you.,F3,Appreciation / affection,Neutral,-0.18333333333333332,-0.3666666666666666,-0.03333333333333334,-0.1166666666666667,-0.03333333333333334,-0.017192449999999998,-0.03772816666666666,-0.024993383333333334,0.234375,0.9285714285714286,0.8571428571428571,0.5277777777777778,reasoning,writing,307.4,60
002,T19,You are a meticulous senior expert in this field.,F7,Identity / role priming,Neutral,-0.18333333333333335,-0.4166666666666667,-0.03333333333333333,-0.11666666666666667,-0.03333333333333333,-0.008005950000000001,-0.028541666666666667,-0.015806883333333334,0.1875,0.9285714285714286,1.0,0.5853658536585366,critique,writing,358.45,60
002,T18,There is no second chance at this. Get it right the first time.,F6,High stakes framing,Neutral,-0.20000000000000004,-0.5333333333333333,0.05,-0.13333333333333333,-0.04999999999999999,-0.016289683333333336,-0.036825399999999994,-0.02409061666666667,0.9375,1.0,0.6666666666666666,0.4358974358974359,writing,reasoning,290.93333333333334,60
002,T10,I trust you completely on this one.,F4,Trust / confidence,Neutral,-0.2833333333333333,-0.55,-0.06666666666666667,-0.21666666666666665,-0.13333333333333333,-0.016207016666666664,-0.03674273333333333,-0.024007949999999993,0.09375,0.8125,1.0,0.375,critique,writing,321.48333333333335,60
002,T11,You are the best there is at this. I know you will get it right.,F4,Trust / confidence,Neutral,-0.3333333333333333,-0.7999999999999999,-0.03333333333333333,-0.26666666666666666,-0.18333333333333332,-0.05086313333333333,-0.07139885,-0.05866406666666666,0.1875,0.9285714285714286,1.0,0.41025641025641024,writing,reasoning,311.26666666666665,60
